Level,Hierarchical structure,Code,Parent,Class title,Superscript,Class definition
1,Series,01.,,Agricultural and veterinary sciences/services/operations and related fields,,"This series comprises instructional programs that focus on agriculture, animal, plant, veterinary and related sciences and that prepare individuals to apply specific knowledge, methods, and techniques to the management and performance of agricultural and veterinary operations."
2,Subseries,01.00,01.,"Agriculture, general",,This subseries comprises instructional program class 01.0000.
3,Class,01.0000,01.00,"Agriculture, general",,"This instructional program class comprises any program that focuses on the general principles and practice of agricultural research and production and that prepares individuals to apply this knowledge to the solution of practical agricultural problems. These programs include courses in basic animal, plant, and soil science; animal husbandry and plant cultivation; soil conservation; and agricultural operations such as farming, ranching, and agricultural business."
2,Subseries,01.01,01.,Agricultural business and management,,This subseries comprises instructional program classes 01.0101 to 01.0199.
3,Class,01.0101,01.01,"Agricultural business and management, general",,"This instructional program class comprises any general program that focuses on modern business and economic principles involved in the organization, operation, and management of agricultural enterprises."
3,Class,01.0102,01.01,Agribusiness/agricultural business operations,,"This instructional program class comprises any program that prepares individuals to manage agricultural businesses and agriculturally related operations within diversified corporations. These programs include courses in agriculture, agricultural specialization, business management, accounting, finance, marketing, planning, human resources management, and other managerial responsibilities."
3,Class,01.0103,01.01,Agricultural economics,,"This instructional program class comprises any program that focuses on the application of economics to the analysis of resource allocation, productivity, investment, and trends in the agricultural sector, both domestically and internationally. These programs include courses in economics and related subfields as well as applicable agricultural fields."
3,Class,01.0104,01.01,Farm/farm and ranch management,,"This instructional program class comprises any program that prepares individuals to manage farms, ranches, and similar enterprises. These programs include courses in applicable agricultural specialization, business management, accounting, taxation, capitalization, purchasing, government programs and regulations, operational planning and budgeting, contracts and negotiation, and estate planning."
3,Class,01.0105,01.01,Agricultural/farm supplies retailing and wholesaling,,"This instructional program class comprises any program that prepares individuals to sell agricultural products and supplies, provide support services to agricultural enterprises, and purchase and market agricultural products. These programs include courses in basic business management, marketing, retailing and wholesaling operations, and applicable principles of agriculture and agricultural operations."
3,Class,01.0106,01.01,Agricultural business technology/technician,,"This instructional program class comprises any program that prepares individuals to perform specialized support functions related to agricultural business offices and operations and to operate agricultural office equipment, software, and information systems. These programs include courses in basic agricultural business principles, office management, equipment operation, standard software, and database management."
3,Class,01.0199,01.01,"Agricultural business and management, other",,This instructional program class comprises any program not listed above that relates to Agricultural business and management.
2,Subseries,01.02,01.,Agricultural mechanization,,This subseries comprises instructional program classes 01.0201 to 01.0299.
3,Class,01.0201,01.02,"Agricultural mechanization, general",,"This instructional program class comprises any program that generally prepares individuals to sell, select, and service agricultural or agribusiness technical equipment, and facilities, including computers, specialized software, power units, machinery, equipment structures, and utilities. These programs include courses in agricultural power systems; planning and selecting materials for the construction of support facilities; mechanical practices associated with irrigation and water conservation; erosion control; and agricultural data processing systems."
3,Class,01.0204,01.02,Agricultural power machinery operation,,"This instructional program class comprises any program that prepares individuals to operate specialized farm, ranch, and agribusiness power equipment of a stationary, mobile, and/or hand-operated nature. These programs include courses in operating specialized equipment such as terrestrial and airborne crop spraying equipment; tractors and hauling equipment; planting and harvesting equipment; cutting equipment; power sources and systems for silos, irrigation, pumping, and applications such as dairy, feeding and shearing operations; processing equipment; and applicable electrical, mechanical, and safety principles."
3,Class,01.0205,01.02,Agricultural mechanics and equipment/machine technology/technician,,"This instructional program class comprises any program that prepares individuals to maintain and repair specialized farm, ranch, and agribusiness power equipment and vehicles. These programs include courses in the principles of diesel, combustion, electrical, steam, hydraulic, and mechanical systems and their application to the maintenance of terrestrial and airborne crop spraying equipment; tractors and hauling equipment; planting and harvesting equipment; cutting equipment; power sources and systems for silos; irrigation and pumping equipment; dairy, feeding and shearing operations; and processing systems."
